"","GENE_NAME3","rpf_edited_count","prot_count","resid","label","ECRP","CDS_length","X15","X20","X25","X30","X35","X40"
"1","AAAS",292,5769.40457317416,-2.02778673531686,"in","no",1592,0.836363636363636,0.989531680440771,0.986776859504132,0.984022038567493,0.981267217630854,0.978512396694215
"2","AAK1",144,380.259368148276,-4.92743411018434,"in","no",2837,0.772132154842369,0.9447936853051,0.962471049770761,0.97239684265255,0.979581226071749,0.985347639079265
"3","AAMP",612,3392.48663505282,-3.86542764129054,"in","yes",1256,0.770943796394486,0.985683987274655,0.987274655355249,0.984623541887593,0.981972428419936,0.97932131495228
"4","AARS2",120,2809.5589385135,-1.77812659849671,"in","no",2909,0.710921217173822,0.931638182576073,0.947894956231763,0.959358065860775,0.968111713213839,0.974781158816173
"5","ABCB6",183,814.698435588164,-4.17522162249476,"in","yes",2480,0.813422818791946,0.993624161073825,0.991946308724832,0.990268456375839,0.988590604026846,0.986912751677852
"6","ABCB8",358,5396.51701919987,-2.41927289262751,"in","no",2108,0.794789664744822,0.994661541746744,0.994661541746744,0.993807388426223,0.992739696775571,0.99167200512492
"7","ABCE1",954,76829.6996135989,-0.00703486966333244,"in","no",1751,0.827116027784924,0.995111911499871,0.99382557242089,0.992539233341909,0.991252894262928,0.989966555183946
"8","ABCF1",640,57996.2805203938,0.165335726990602,"in","no",2489,0.757415565345081,0.986784140969163,0.990895741556534,0.990895741556534,0.990014684287812,0.988546255506608
"9","ABCF3",364,3212.90173607666,-3.19149327905977,"in","no",2081,0.808307926829268,0.992378048780488,0.990853658536585,0.988948170731707,0.987042682926829,0.985137195121951
"10","ABHD10",121,2647.09619990237,-1.87607712054558,"in","no",872,0.81989247311828,0.987327188940092,0.990783410138249,0.988863287250384,0.986943164362519,0.985023041474654
"11","ABHD11",87,9875.8610778187,0.501120988707463,"in","no",899,0.654079568442347,0.828051247471342,0.860418071476736,0.891436277815239,0.915711395819285,0.931220498988537
"12","ABHD12",448,38495.7177662945,0.0905737104347875,"in","no",1148,0.802040816326531,0.989285714285714,0.987755102040816,0.985204081632653,0.98265306122449,0.980102040816327
"13","ABHD14B",312,84582.1705868556,1.75013688440348,"in","yes",584,0.795719844357977,0.990758754863813,0.988326848249027,0.985894941634241,0.983463035019455,0.981031128404669
"14","ABI1",535,34090.3159134802,-0.341761391557158,"in","yes",1382,0.807167235494881,0.992036405005688,0.993174061433447,0.991751990898749,0.99032992036405,0.988907849829352
"15","ABT1",238,19246.4125233089,0.00642015946018937,"in","no",770,0.845735643900781,0.99252463472647,0.99184505606524,0.990146109412164,0.988447162759089,0.986748216106014
"16","ACAA1",169,5103.39044536786,-1.4128532070214,"in","no",1226,0.81518540317834,0.987051206592113,0.985874043555032,0.982931135962331,0.979988228369629,0.977045320776928
